loss,params,iteration,estimators,train_time
439.8243269703542,"{'boosting_type': 'gbdt', 'feature_fraction': 0.5894784894095393, 'force_col_wise': '+', 'learning_rate': 0.0090853518950129, 'max_depth': 5, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 106, 'reg_alpha': 0.8326320323149597, 'reg_lambda': 0.45470105222137214, 'subsample': 0.6396310350831743}",1,1000,795.6534487000026
400.3437261471418,"{'boosting_type': 'gbdt', 'feature_fraction': 0.7924027890360311, 'force_col_wise': '+', 'learning_rate': 0.6659871452045142, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 61, 'reg_alpha': 0.727725743177325, 'reg_lambda': 0.41010395885331374, 'subsample': 0.3283625505110847}",2,60,97.71260599998641
459.25621141206557,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6060762192885254, 'force_col_wise': '+', 'learning_rate': 0.0015379379813713668, 'max_depth': 8, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 198, 'reg_alpha': 0.883315277380862, 'reg_lambda': 0.8373883555532842, 'subsample': 0.3968159767950026}",3,1000,1236.9200460000138
475.0374139868109,"{'boosting_type': 'gbdt', 'feature_fraction': 0.546634416215163, 'force_col_wise': '+', 'learning_rate': 0.003663241571989199, 'max_depth': 4, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 34, 'reg_alpha': 0.9187225216693768, 'reg_lambda': 0.44483251230115173, 'subsample': 0.6175657406644092}",4,1000,669.2262980999949
469.75561648229586,"{'boosting_type': 'gbdt', 'feature_fraction': 0.6015264210238241, 'force_col_wise': '+', 'learning_rate': 0.0019485432371166718, 'max_depth': 6, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 65, 'reg_alpha': 0.17187156139656068, 'reg_lambda': 0.8123959883573632, 'subsample': 0.642711134471449}",5,1000,917.7413500999974
388.2015653727221,"{'boosting_type': 'gbdt', 'feature_fraction': 0.7151093453479511, 'force_col_wise': '+', 'learning_rate': 0.14032653007413043, 'max_depth': 12, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 133, 'reg_alpha': 0.43802918644092326, 'reg_lambda': 0.7995534416071729, 'subsample': 0.9326964507546804}",6,380,310.0013487999968
412.5258362473569,"{'boosting_type': 'gbdt', 'feature_fraction': 0.615687493685108, 'force_col_wise': '+', 'learning_rate': 0.8878656546212295, 'max_depth': 5, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 51, 'reg_alpha': 0.9393697376027715, 'reg_lambda': 0.7340280179855683, 'subsample': 0.509760107258835}",7,327,301.06434199999785
414.0533787002678,"{'boosting_type': 'gbdt', 'feature_fraction': 0.539790719707558, 'force_col_wise': '+', 'learning_rate': 0.10427007856347785, 'max_depth': 5, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 118, 'reg_alpha': 0.7753643788278823, 'reg_lambda': 0.6170793585023162, 'subsample': 0.5713277095275672}",8,1000,772.6436578000139
398.84393987861813,"{'boosting_type': 'gbdt', 'feature_fraction': 0.5153403661031155, 'force_col_wise': '+', 'learning_rate': 0.32581367701603875, 'max_depth': 7, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 59, 'reg_alpha': 0.9200092264373162, 'reg_lambda': 0.5434030676903124, 'subsample': 0.5268419875990615}",9,460,353.5483665000065
477.0623237541986,"{'boosting_type': 'gbdt', 'feature_fraction': 0.5000183152258021, 'force_col_wise': '+', 'learning_rate': 0.013905746064673747, 'max_depth': 3, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 135, 'reg_alpha': 0.7006214446213659, 'reg_lambda': 0.9554779863099281, 'subsample': 0.4479900010919373}",10,1000,593.8059794000001
400.19880395321235,"{'boosting_type': 'gbdt', 'feature_fraction': 0.5824144546506252, 'force_col_wise': '+', 'learning_rate': 0.005803136333449212, 'max_depth': 14, 'min_sum_hessian_in_leaf': 0, 'num_leaves': 194, 'reg_alpha': 0.8178300196637514, 'reg_lambda': 0.003630307254743226, 'subsample': 0.7050650353598693}",11,1000,924.2795322999882
